fecha;total
13/6/2022;1606659
12/6/2022;842715
11/6/2022;1106623
10/6/2022;1782419
9/6/2022;1659965
8/6/2022;1638325
7/6/2022;1787194
6/6/2022;1728605
5/6/2022;922981
4/6/2022;1341392
3/6/2022;1759345
2/6/2022;1973804
1/6/2022;1859141
31/5/2022;1955936
30/5/2022;1718712
29/5/2022;730428
28/5/2022;1048875
27/5/2022;1728603
26/5/2022;1764699
25/5/2022;1532178
24/5/2022;1530370
23/5/2022;953579
22/5/2022;693857
21/5/2022;1019590
20/5/2022;1899876
19/5/2022;1896842
18/5/2022;1641393
17/5/2022;1670599
16/5/2022;2127257
15/5/2022;839703
14/5/2022;1080877
13/5/2022;1815979
12/5/2022;1704294
11/5/2022;1564044
10/5/2022;1563484
9/5/2022;1567448
8/5/2022;860024
7/5/2022;1187403
6/5/2022;1949761
5/5/2022;2065546
4/5/2022;1806070
3/5/2022;2034358
2/5/2022;1066945
1/5/2022;896047
30/4/2022;1233601
29/4/2022;1996825
28/4/2022;1697355
27/4/2022;1460361
26/4/2022;1777867
25/4/2022;1658675
24/4/2022;734961
23/4/2022;985852
22/4/2022;1498833
21/4/2022;1520685
20/4/2022;1675642
19/4/2022;1742711
18/4/2022;1861712
17/4/2022;828655
16/4/2022;961324
15/4/2022;970313
14/4/2022;1956161
13/4/2022;1620738
12/4/2022;1600636
11/4/2022;1449928
10/4/2022;839545
9/4/2022;1080012
8/4/2022;1678054
7/4/2022;1975597
6/4/2022;1764944
5/4/2022;1841087
4/4/2022;1752619
3/4/2022;853665
2/4/2022;1172680
1/4/2022;1956134
31/3/2022;1961456
30/3/2022;1678421
29/3/2022;1413806
28/3/2022;1524423
27/3/2022;656755
26/3/2022;961641
25/3/2022;1310377
24/3/2022;1303834
23/3/2022;1394581
22/3/2022;1486131
21/3/2022;1508400
20/3/2022;727217
19/3/2022;1118134
18/3/2022;1770649
17/3/2022;1936791
16/3/2022;1842797
15/3/2022;1828066
14/3/2022;1500524
13/3/2022;733406
12/3/2022;1082815
11/3/2022;1854355
10/3/2022;1517883
9/3/2022;1493387
8/3/2022;1615984
7/3/2022;1672431
6/3/2022;806188
5/3/2022;1066096
4/3/2022;1811090
